Item,Stimulus_num,Mean_Valence,Mean_Arousal,Block,Subblock
Cat,1540,7.15,4.54,1,1
EroticCouple,4643,6.84,6.01,1,1
Biking/train,8475,4.85,6.52,1,1
Attack,6562,3.19,5.08,1,1
Family,2358,6.56,3.73,1,1
CryingBoy,2900.1,2.56,4.61,1,1
EroticCouple,4649,5.77,5.99,1,2
Spider,1200,3.95,6.03,1,2
Women,2595,4.88,3.71,1,2
Nature,5760,8.05,3.22,1,2
Children,2347,7.83,5.56,1,2
AttractiveFem,2300,7.04,5.55,1,2
ElderlyWoman,2590,3.26,3.93,1,3
Injection,9594,3.76,5.17,1,3
Gannet,1450,6.37,2.83,1,3
Mutilation,3000,1.59,7.34,1,3
EroticFemale,4225,6.09,5.39,1,3
CryingWoman,9332,2.25,5.34,1,3
Cookout,7440,6.32,4.7,1,4
Golfer,8311,5.88,3.57,1,4
Rafters,8400,7.09,6.61,1,4
Police,2682,3.69,4.48,1,4
Man,2190,4.83,2.41,1,4
Mask,2770,4.37,5.11,1,4
Snake,1052,3.5,6.52,2,1
RockClimber,8160,5.07,6.97,2,1
Mushrooms,5534,4.84,3.14,2,1
Flower,5000,7.08,2.67,2,1
Wolf,1645,4.99,5.14,2,1
NudeFemale,4750,5.57,4.9,2,1
Athletes,8540,7.48,5.16,2,2
Tornado,5973,3.51,5.78,2,2
BloodyKiss,2352.2,2.09,6.25,2,2
BatteredFem,3180,1.92,5.77,2,2
EroticCouple,4810,6.56,6.66,2,2
Girl,2304,7.22,3.63,2,2
Orangutan,1661,6.14,4.05,2,3
DeadMan,9412,1.83,6.72,2,3
EroticCouple,4664.1,5.63,6.63,2,3
Ramen,7476,4.99,4.63,2,3
Skydivers,8185,7.57,7.27,2,3
Stitches,3185,2.81,5.48,2,3
Dog,1303,4.68,5.7,2,4
Mutilation,3063,1.49,6.35,2,4
Sunset,5830,8,4.92,2,4
Cemetery,9000,2.55,4.06,2,4
Ocean,7545,6.84,3.28,2,4
IroningBoard,7234,4.23,2.96,2,4
Attack,6550,2.73,7.09,3,1
Skier,8190,8.1,6.28,3,1
Golf,8312,5.37,3.32,3,1
AttractiveMan,4574,6.62,4.25,3,1
Kickboxing,8065,5.25,5.71,3,1
AimedGun,6263,2.48,6.62,3,1
Couple,4624,6.84,5.02,3,2
Kitten,1460,8.21,4.31,3,2
Hospital,2205,1.95,4.53,3,2
Pill,7046,4.18,4.14,3,2
Couple,2530,7.8,3.99,3,2
Lamp,7175,4.87,1.72,3,2
Bucket,7078,3.79,3.69,3,3
WaterSkier,8200,7.54,6.35,3,3
Shark,1931,4,6.8,3,3
Puppies,1710,8.34,5.41,3,3
AttractiveFem,4274,5.42,4.18,3,3
BurnVictim,3053,1.31,6.91,3,3
NeutFace,2210,4.38,3.56,3,4
Girls,2091,7.68,4.51,3,4
Hunters,2688,2.73,5.98,3,4
EroticMale,4490,6.27,6.06,3,4
Chess,2580,5.71,2.79,3,4
BurntBldg,9471,3.16,4.48,3,4
